date,value
1/05/2022,58.4
1/04/2022,65.2
1/03/2022,59.4
1/02/2022,62.8
1/01/2022,67.2
1/12/2021,70.6
1/11/2021,67.4
1/10/2021,71.7
1/09/2021,72.8
1/08/2021,70.3
1/07/2021,81.2
1/06/2021,85.5
1/05/2021,82.9
1/04/2021,88.3
1/03/2021,84.9
1/02/2021,76.8
1/01/2021,79.0
1/12/2020,80.7
1/11/2020,76.9
1/10/2020,81.8
1/09/2020,80.4
1/08/2020,74.1
1/07/2020,72.5
1/06/2020,78.1
1/05/2020,72.3
1/04/2020,71.8
1/03/2020,89.1
1/02/2020,101.0
1/01/2020,99.8
1/12/2019,99.3
1/11/2019,96.8
1/10/2019,95.5
1/09/2019,93.2
1/08/2019,89.8
1/07/2019,98.4
1/06/2019,98.2
1/05/2019,100.0
1/04/2019,97.2
1/03/2019,98.4
1/02/2019,93.8
1/01/2019,91.2
1/12/2018,98.3
1/11/2018,97.5
1/10/2018,98.6
1/09/2018,100.1
1/08/2018,96.2
1/07/2018,97.9
1/06/2018,98.2
1/05/2018,98.0
1/04/2018,98.8
1/03/2018,101.4
1/02/2018,99.7
1/01/2018,95.7
1/12/2017,95.9
1/11/2017,98.5
1/10/2017,100.7
1/09/2017,95.1
1/08/2017,96.8
1/07/2017,93.4
1/06/2017,95.0
1/05/2017,97.1
1/04/2017,97.0
1/03/2017,96.9
1/02/2017,96.3
1/01/2017,98.5
1/12/2016,98.2
1/11/2016,93.8
1/10/2016,87.2
1/09/2016,91.2
1/08/2016,89.8
1/07/2016,90.0
1/06/2016,93.5
1/05/2016,94.7
1/04/2016,89.0
1/03/2016,91.0
1/02/2016,91.7
1/01/2016,92.0
1/12/2015,92.6
1/11/2015,91.3
1/10/2015,90.0
1/09/2015,87.2
1/08/2015,91.9
1/07/2015,93.1
1/06/2015,96.1
1/05/2015,90.7
1/04/2015,95.9
1/03/2015,93.0
1/02/2015,95.4
1/01/2015,98.1
1/12/2014,93.6
1/11/2014,88.8
1/10/2014,86.9
1/09/2014,84.6
1/08/2014,82.5
1/07/2014,81.8
1/06/2014,82.5
1/05/2014,81.9
1/04/2014,84.1
1/03/2014,80.0
1/02/2014,81.6
1/01/2014,81.2
1/12/2013,82.5
1/11/2013,75.1
1/10/2013,73.2
1/09/2013,77.5
1/08/2013,82.1
1/07/2013,85.1
1/06/2013,84.1
1/05/2013,84.5
1/04/2013,76.4
1/03/2013,78.6
1/02/2013,77.6
1/01/2013,73.8
1/12/2012,72.9
1/11/2012,82.7
1/10/2012,82.6
1/09/2012,78.3
1/08/2012,74.3
1/07/2012,72.3
1/06/2012,73.2
1/05/2012,79.3
1/04/2012,76.4
1/03/2012,76.2
1/02/2012,75.3
1/01/2012,75.0
1/12/2011,69.9
1/11/2011,63.7
1/10/2011,60.8
1/09/2011,59.5
1/08/2011,55.8
1/07/2011,63.7
1/06/2011,71.5
1/05/2011,74.3
1/04/2011,69.8
1/03/2011,67.5
1/02/2011,77.5
1/01/2011,74.2
1/12/2010,74.5
1/11/2010,71.6
1/10/2010,67.7
1/09/2010,68.2
1/08/2010,68.9
1/07/2010,67.8
1/06/2010,76.0
1/05/2010,73.6
1/04/2010,72.2
1/03/2010,73.6
1/02/2010,73.6
1/01/2010,74.4
1/12/2009,72.5
1/11/2009,67.4
1/10/2009,70.6
1/09/2009,73.5
1/08/2009,65.7
1/07/2009,66.0
1/06/2009,70.8
1/05/2009,68.7
1/04/2009,65.1
1/03/2009,57.3
1/02/2009,56.3
1/01/2009,61.2
1/12/2008,60.1
1/11/2008,55.3
1/10/2008,57.6
1/09/2008,70.3
1/08/2008,63.0
1/07/2008,61.2
1/06/2008,56.4
1/05/2008,59.8
1/04/2008,62.6
1/03/2008,69.5
1/02/2008,70.8
1/01/2008,78.4
1/12/2007,75.5
1/11/2007,76.1
1/10/2007,80.9
1/09/2007,83.4
1/08/2007,83.4
1/07/2007,90.4
1/06/2007,85.3
1/05/2007,88.3
1/04/2007,87.1
1/03/2007,88.4
1/02/2007,91.3
1/01/2007,96.9
1/12/2006,91.7
1/11/2006,92.1
1/10/2006,93.6
1/09/2006,85.4
1/08/2006,82.0
1/07/2006,84.7
1/06/2006,84.9
1/05/2006,79.1
1/04/2006,87.4
1/03/2006,88.9
1/02/2006,86.7
1/01/2006,91.2
1/12/2005,91.5
1/11/2005,81.6
1/10/2005,74.2
1/09/2005,76.9
1/08/2005,89.1
1/07/2005,96.5
